to the participants,b_vt_exp,b_of_exp,b_linux_exp,b_d_exp,b_dc_d_exp,b_dc_p_exp,b_dc_proj_u,b_dc_proj_e,b_dc_proj_o,duration_total,,s_total,spm_total,dur_docs,,s_docs,spm_docs,dur_composer,,dur_script,,dur_editor,,dur_browser,,dur_terminal,,editor+composer,,editor+terminal,,t1_dur_sum,t1_s,t1_spm,t1_tries,t1_docs,t1_docs_s,t1_composer,t1_composer_s,t1_script,t1_script_s,t1_editor,t1_editor_s,t1_browser,t1_browser_s,t1_terminal,t1_terminal_s,t2_duration_stop,t2_duration_sum,t2_s,t2_spm,t2_tries,t2_docs,t2_docs_s,t2_composer,t2_composer_s,t2_script,t2_script_s,t2_editor,t2_editor_s,t2_browser,t2_browser_s,t2_terminal,t2_terminal_s,t2_complete,t3_duration_sum,t3_s,t3_spm,t3_tries,t3_docs,t3_docs_s,t3_composer,t3_composer_s,t3_script,t3_script_s,t3_editor,t3_editor_s,t3_browser,t3_browser_s,t3_terminal,t3_terminal_s,t3_complete,t4_duration_sum,t4_s,t4_spm,t4_tries,t4_docs,t4_docs_s,t4_composer,t4_composer_s,t4_script,t4_script_s,t4_editor,t4_editor_s,t4_browser,t4_browser_s,t4_terminal,t4_terminal_s,t4_complete
0,4,1,4,2,2,2,5,0,5,4484,1:14:44,246,"3,291703836",1162,0:19:22,47,"2,426850258",0,0:00:00,971,0:16:11,1133,0:18:53,161,0:02:41,1057,0:17:37,1133,0:18:53,1294,0:21:34,1539,81,"3,157894737",1,708,19,0,0,380,34,287,23,0,0,164,5,1486,1546,73,"2,833117723",4,101,5,0,0,221,18,425,26,154,7,645,17,1,975,64,"3,938461538",3,237,15,0,0,309,23,259,19,7,1,163,6,1,424,28,"3,962264151",3,116,8,0,0,61,6,162,10,0,0,85,4,1
0,2,1,4,2,2,2,2,1,1,5234,1:27:14,382,"4,379059992",1076,0:17:56,62,"3,457249071",0,0:00:00,1043,0:17:23,1604,0:26:44,622,0:10:22,889,0:14:49,1604,0:26:44,2226,0:37:06,970,76,"4,701030928",0,306,12,0,0,405,34,259,30,0,0,0,0,1500,1637,89,"3,262064753",7,231,7,0,0,160,18,462,26,468,20,316,18,0,1833,145,"4,746317512",16,381,25,0,0,370,40,530,44,154,10,398,26,0,794,72,"5,440806045",5,158,18,0,0,108,12,353,30,0,0,175,12,1
0,3,1,4,4,4,4,4,4,4,5106,1:25:06,354,"4,159811986",711,0:11:51,38,"3,206751055",0,0:00:00,1633,0:27:13,1424,0:23:44,438,0:07:18,900,0:15:00,1424,0:23:44,1862,0:31:02,780,58,"4,461538462",0,181,8,0,0,327,29,262,20,10,1,0,0,1500,1470,80,"3,265306122",1,112,4,0,0,359,26,424,25,190,10,385,15,0,1802,157,"5,227524972",9,185,15,0,0,705,54,477,54,168,14,267,20,0,1054,59,"3,358633776",5,233,11,0,0,242,14,261,15,70,4,248,15,1
0,4,3,4,4,4,4,8,5,3,2465,0:41:05,226,"5,501014199",347,0:05:47,21,"3,631123919",0,0:00:00,551,0:09:11,821,0:13:41,194,0:03:14,552,0:09:12,821,0:13:41,1015,0:16:55,551,49,"5,335753176",1,75,3,0,0,177,18,212,22,35,5,52,1,783,719,53,"4,422809458",6,57,2,0,0,136,15,212,21,91,5,223,10,1,995,103,"6,211055276",9,158,14,0,0,210,25,310,37,65,4,252,23,1,200,21,"6,3",2,57,2,0,0,28,7,87,9,3,1,25,2,1
0,3,5,5,5,5,3,7,7,10,2999,0:49:59,281,"5,621873958",264,0:04:24,21,"4,772727273",0,0:00:00,447,0:07:27,1261,0:21:01,35,0:00:35,992,0:16:32,1261,0:21:01,1296,0:21:36,425,43,"6,070588235",0,0,0,0,0,192,22,233,21,0,0,0,0,1183,1197,111,"5,563909774",13,11,3,0,0,58,11,367,45,28,5,733,47,1,982,104,"6,354378819",6,89,9,0,0,163,27,494,46,7,2,229,20,1,395,23,"3,493670886",1,164,9,0,0,34,4,167,9,0,0,30,1,0
0,1,1,3,2,2,2,2,0,2,4663,1:17:43,359,"4,61934377",1217,0:20:17,59,"2,908792112",0,0:00:00,1169,0:19:29,1322,0:22:02,210,0:03:30,745,0:12:25,1322,0:22:02,1532,0:25:32,788,75,"5,710659898",0,188,9,0,0,343,35,257,31,0,0,0,0,1500,1502,90,"3,595206391",6,347,8,0,0,248,18,301,29,210,19,396,16,0,1794,153,"5,117056856",12,620,37,0,0,416,38,520,63,0,0,238,15,0,579,41,"4,248704663",5,62,5,0,0,162,12,244,18,0,0,111,6,1
0,4,4,4,4,4,3,5,4,1,4445,1:14:05,276,"3,725534308",721,0:12:01,24,"1,997226075",0,0:00:00,799,0:13:19,1466,0:24:26,695,0:11:35,764,0:12:44,1466,0:24:26,2161,0:36:01,711,43,"3,628691983",1,185,2,0,0,193,17,276,17,42,6,15,1,1471,1465,86,"3,5221843",12,131,3,0,0,90,11,402,26,331,20,511,26,1,1795,123,"4,111420613",11,369,17,0,0,445,34,675,50,115,8,191,14,0,474,24,"3,037974684",1,36,2,0,0,71,6,113,7,207,6,47,3,1
0,2,1,4,3,3,3,2,2,2,4488,1:14:48,428,"5,721925134",1198,0:19:58,71,"3,555926544",0,0:00:00,951,0:15:51,1306,0:21:46,149,0:02:29,884,0:14:44,1306,0:21:46,1455,0:24:15,519,69,"7,976878613",0,139,6,0,0,159,35,221,28,0,0,0,0,1500,1494,147,"5,903614458",7,258,16,0,0,339,50,373,44,22,16,502,21,0,1792,176,"5,892857143",15,688,42,0,0,324,43,512,69,0,0,268,22,0,683,36,"3,162518302",5,113,7,0,0,129,8,200,13,127,2,114,6,1
1,3,1,4,3,1,1,5,1,5,3452,0:57:32,116,"2,01622248",317,0:05:17,9,"1,703470032",2187,0:36:27,908,0:15:08,0,0:00:00,40,0:00:40,0,0:00:00,2187,0:36:27,40,0:00:40,1128,42,"2,234042553",1,33,3,728,20,367,19,0,0,0,0,0,0,946,946,26,"1,649048626",3,74,3,636,11,216,10,0,0,20,2,0,0,1,908,39,"2,577092511",2,0,0,613,19,275,18,0,0,20,2,0,0,1,470,9,"1,14893617",2,210,3,210,3,50,3,0,0,0,0,0,0,1
1,2,1,4,4,4,2,7,6,4,1675,0:27:55,82,"2,937313433",7,0:00:07,1,"8,571428571",1230,0:20:30,389,0:06:29,18,0:00:18,31,0:00:31,0,0:00:00,1248,0:20:48,49,0:00:49,373,27,"4,343163539",1,7,1,205,13,161,13,0,0,0,0,0,0,370,368,6,"0,9782608696",3,0,0,324,3,25,2,0,0,19,1,0,0,1,830,42,"3,036144578",7,0,0,610,20,195,19,15,2,10,1,0,0,1,104,7,"4,038461538",2,0,0,91,3,8,2,3,1,2,1,0,0,1
1,4,2,5,4,3,2,6,2,5,2322,0:38:42,124,"3,204134367",25,0:00:25,3,"7,2",1587,0:26:27,659,0:10:59,22,0:00:22,29,0:00:29,0,0:00:00,1609,0:26:49,51,0:00:51,576,39,"4,0625",0,25,3,301,17,250,19,0,0,0,0,0,0,928,924,27,"1,753246753",6,0,0,759,12,148,13,0,0,17,2,0,0,1,655,45,"4,122137405",2,0,0,411,17,217,21,19,5,8,2,0,0,1,167,13,"4,670658683",1,0,0,116,5,44,6,3,1,4,1,0,0,1
1,4,2,5,4,4,2,6,6,6,2026,0:33:46,179,"5,301085884",203,0:03:23,15,"4,433497537",1255,0:20:55,457,0:07:37,29,0:00:29,82,0:01:22,0,0:00:00,1284,0:21:24,111,0:01:51,582,69,"7,113402062",0,149,10,247,31,186,28,0,0,0,0,0,0,511,510,27,"3,176470588",6,0,0,413,11,46,8,0,0,51,8,0,0,1,736,68,"5,543478261",6,47,4,433,31,201,26,26,6,29,1,0,0,1,198,15,"4,545454545",2,7,1,162,6,24,6,3,1,2,1,0,0,1
1,5,2,5,2,2,1,3,0,1,4859,1:20:59,283,"3,494546203",181,0:03:01,15,"4,972375691",3097,0:51:37,1074,0:17:54,97,0:01:37,361,0:06:01,49,0:00:49,3194,0:53:14,458,0:07:38,1190,92,"4,638655462",1,120,12,713,41,311,36,0,0,46,3,0,0,1500,1532,63,"2,467362924",11,24,2,1034,30,232,22,13,3,202,5,27,1,0,1790,105,"3,519553073",14,37,1,1181,50,361,42,76,8,113,3,22,1,0,347,23,"3,976945245",2,0,0,169,10,170,10,8,3,0,0,0,0,1
1,2,1,4,3,3,1,4,1,3,2237,0:37:17,122,"3,272239607",61,0:01:01,4,"3,93442623",1389,0:23:09,635,0:10:35,29,0:00:29,42,0:00:42,81,0:01:21,1418,0:23:38,71,0:01:11,583,35,"3,602058319",1,13,2,331,16,194,13,0,0,0,0,45,4,980,979,39,"2,390194076",6,48,2,682,19,222,15,0,0,27,3,0,0,1,498,33,"3,975903614",2,0,0,290,15,172,14,11,2,10,1,15,1,1,177,15,"5,084745763",2,0,0,86,5,47,5,18,3,5,1,21,1,1
1,2,1,2,1,1,1,3,0,1,2449,0:40:49,174,"4,262964475",11,0:00:11,1,"5,454545455",1550,0:25:50,748,0:12:28,52,0:00:52,88,0:01:28,0,0:00:00,1602,0:26:42,140,0:02:20,444,41,"5,540540541",0,11,1,276,20,157,20,0,0,0,0,0,0,1061,1065,49,"2,76056338",6,0,0,690,22,311,22,0,0,64,5,0,0,1,728,64,"5,274725275",6,0,0,455,30,220,27,29,5,24,2,0,0,1,212,20,"5,660377358",1,0,0,129,9,60,7,23,4,0,0,0,0,1
