group;b_vt_exp;b_vt_nr;b_of_exp;b_of_nr;b_linux_exp;b_d_exp;b_dc_d_exp;b_dc_p_exp;b_dc_proj_u;b_dc_proj_e;b_dc_proj_o;duration;spd_total;duration_docs;duration_composer;duration_script;duration_browser;duration_terminal;duration_editor;duration_sm;duration_et;duration_ec;t1_duration;t1_tries;t1_spm;t1_docs;t1_docs_a;t1_composer;t1_composer_a;t1_script;t1_script_a;t1_editor;t1_editor_a;t1_browser;t1_browser_a;t1_terminal;t1_terminal_a;t1_score;t2_duration;t2_tries;t2_spm;t2_docs;t2_docs_a;t2_composer;t2_composer_a;t2_script;t2_script_a;t2_editor;t2_editor_a;t2_browser;t2_browser_a;t2_terminal;t2_terminal_a;t2_complete;t3_duration;t3_tries;t3_spm;t3_docs;t3_docs_a;t3_composer;t3_composer_a;t3_script;t3_script_a;t3_editor;t3_editor_a;t3_browser;t3_browser_a;t3_terminal;t3_terminal_a;t3_complete;t4_duration;t4_tries;t4_spm;t4_docs;t4_docs_a;t4_composer;t4_composer_a;t4_script;t4_script_a;t4_editor;t4_editor_a;t4_browser;t4_browser_a;t4_terminal;t4_terminal_a;t4_complete;p_remote;p_env;p_proc;p_desc;p_learn;p_use;p_understand;p_define;p_vm_ue;p_vm_uq;p_vm_de;p_vm_dq;p_dh_ue;p_dh_uq;p_dh_de;p_dh_dq;p_vf_ue;p_vf_uq;p_com_de;p_com_dq;p_effort;p_useful;p_viz;p_effective;p_improv;p_practi;p_comm;p_recommend;p_future_use;p_skillful
0;4;3;1;0;4;2;2;2;5;0;5;4484;3,291703836;1162;0;971;161;1057;1133;1294;1294;1133;1539;1;3,157894737;708;19;0;0;380;34;287;23;0;0;164;5;11;1546;4;2,833117723;101;5;0;0;221;18;425;26;154;7;645;17;1;975;3;3,938461538;237;15;0;0;309;23;259;19;7;1;163;6;1;424;3;3,962264151;116;8;0;0;61;6;162;10;0;0;85;4;1;5;1;4;3; ;2;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;2;1;1;0;4;2;2;2;2;1;1;5234;4,379059992;1076;0;1043;622;889;1604;2226;2226;1604;970;0;4,701030928;306;12;0;0;405;34;259;30;0;0;0;0;8;1637;7;3,262064753;231;7;0;0;160;18;462;26;468;20;316;18;0;1833;16;4,746317512;381;25;0;0;370;40;530;44;154;10;398;26;0;794;5;5,440806045;158;18;0;0;108;12;353;30;0;0;175;12;1;2;2;3;3; ;4;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;3;3;1;0;4;4;4;4;4;4;4;5106;4,159811986;711;0;1633;438;900;1424;1862;1862;1424;780;0;4,461538462;181;8;0;0;327;29;262;20;10;1;0;0;9;1470;1;3,265306122;112;4;0;0;359;26;424;25;190;10;385;15;0;1802;9;5,227524972;185;15;0;0;705;54;477;54;168;14;267;20;0;1054;5;3,358633776;233;11;0;0;242;14;261;15;70;4;248;15;1;4;2;2;5; ;4;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;4;2;3;1;4;4;4;4;8;5;3;2465;5,501014199;347;0;551;194;552;821;1015;1015;821;551;1;5,335753176;75;3;0;0;177;18;212;22;35;5;52;1;10;719;6;4,422809458;57;2;0;0;136;15;212;21;91;5;223;10;1;995;9;6,211055276;158;14;0;0;210;25;310;37;65;4;252;23;1;200;2;6,3;57;2;0;0;28;7;87;9;3;1;25;2;1;5;1;1;2; ;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;3;1;5;1;5;5;5;3;7;7;10;2604;5,621873958;264;0;447;35;992;1261;1296;1296;1261;425;0;6,070588235;0;0;0;0;192;22;233;21;0;0;0;0;9;1197;13;5,563909774;11;3;0;0;58;11;367;45;28;5;733;47;1;982;6;6,354378819;89;9;0;0;163;27;494;46;7;2;229;20;1;395;2;3,493670886;164;9;0;0;34;4;167;9;0;0;30;2;1;2;5;2;2; ;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;1;1;1;0;3;2;2;2;2;0;2;4663;4,61934377;1217;0;1169;210;745;1322;1532;1532;1322;788;0;5,710659898;188;9;0;0;343;35;257;31;0;0;0;0;5;1502;6;3,595206391;347;8;0;0;248;18;301;29;210;19;396;16;0;1794;12;5,117056856;620;37;0;0;416;38;520;63;0;0;238;15;0;579;5;4,248704663;62;5;0;0;162;12;244;18;0;0;111;6;1;5;1;1;3; ;1;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;4;3;4;0;4;4;4;3;5;4;1;4445;3,725534308;721;0;799;695;764;1466;2161;2161;1466;711;1;3,628691983;185;2;0;0;193;17;276;17;42;6;15;1;9;1465;12;3,5221843;131;3;0;0;90;11;402;26;331;20;511;26;1;1795;11;4,111420613;369;17;0;0;445;34;675;50;115;8;191;14;0;474;1;3,037974684;36;2;0;0;71;6;113;7;207;6;47;3;1;5;2;4;3; ;3;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;2;2;1;0;4;3;3;3;2;2;2;4488;5,721925134;1198;0;951;149;884;1306;1455;1455;1306;519;0;7,976878613;139;6;0;0;159;35;221;28;0;0;0;0;8;1494;7;5,903614458;258;16;0;0;339;50;373;44;22;16;502;21;0;1792;15;5,892857143;688;42;0;0;324;43;512;69;0;0;268;22;0;683;5;3,162518302;113;7;0;0;129;8;200;13;127;2;114;6;1;5;1;1;3; ;3;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;3;5;1;0;4;3;1;1;5;1;5;3452;2,01622248;317;2187;908;40;0;0;2187;40;2187;1128;1;2,234042553;33;3;728;20;367;19;0;0;0;0;0;0;10;946;3;1,649048626;74;3;636;11;216;10;0;0;20;2;0;0;1;908;2;2,577092511;0;0;613;19;275;18;0;0;20;2;0;0;1;470;2;1,14893617;210;3;210;3;50;3;0;0;0;0;0;0;1;5;1;1;2;5;1;1;5;5;4;5;4;2;2;2;2;5;5;5;5;5;5;1;1;5;4;5;5;5;5
1;2;3;1;0;4;4;4;2;7;6;4;1675;2,937313433;7;1230;389;31;0;18;1248;49;1248;373;1;4,343163539;7;1;205;13;161;13;0;0;0;0;0;0;11;368;3;,9782608696;0;0;324;3;25;2;0;0;19;1;0;0;1;830;7;3,036144578;0;0;610;20;195;19;15;2;10;1;0;0;1;104;2;4,038461538;0;0;91;3;8;2;3;1;2;1;0;0;1;4;2;2;2;4;1;2;5;5;5;4;5;3;3;4;4;3;3;3;3;5;5;2;1;4;4;4;5;4;4
